Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity
860.85,866,877,862.5,873,873.35,871.82,3498193
873.35,892,892,879.15,881.6,882.85,884.58,5007164
882.85,888.25,890.15,869.4,870.35,871.5,876.83,4677273
871.5,875,875,859.15,860.8,860.85,865.07,3126064
860.85,855,855,833.4,837.7,837.35,839.63,7154511
837.35,840,847.25,823.15,828,827.95,835.82,4890181
827.95,838,838,821.35,831.5,830.85,828.7,3255486
830.85,827.55,838.9,818.5,837.55,837.3,829.55,3787775
837.3,826.75,836.2,823.1,825.25,825.05,828.4,3219680
825.05,828,831.65,810.05,811,812.35,820.84,3140142
812.35,799.5,799.5,779,791.9,792,789.79,5994097
792,776.7,796.4,767,780.25,780.65,781.35,5084300
780.65,753,779,753,767.5,765.3,765.19,7463019
780.65,753,779,753,767.5,765.3,765.19,7463019
765.3,785.35,790,765,770.4,772.75,776.76,4056543
772.75,768.35,784.95,765,770.8,772.2,776.23,2489305
772.2,783,783,758,758.9,760.9,767.38,3936767
760.9,760,772.3,754.7,764.1,759.15,765.21,2580004
759.15,760.5,774.4,751,753.8,755,759.89,3096352
755,757.7,760,737,737.65,741.2,747.18,3914915
741.2,731.05,739,721.3,731,732.55,729.26,4663092
732.55,731,759.85,725.6,759.85,757,741.8,3552807
